,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt,percent_gap,stock_accuracy
193,708891,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
194,708892,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
195,708893,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
196,708894,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
197,708895,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
198,708896,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,105.00,105.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
199,708897,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,57.00,57.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
200,708898,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
201,708899,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
202,708935,2022,33,100808782,IS0006647S,ABS147503,CA,U,2300,2001,,300.00,293.00,-7.00,73.64,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,73.64,33,2022,-2.3333333333333335,True
203,708952,2022,33,100808782,IS0006647S,ABS147503,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
204,709380,2022,33,100808834,IS0006707S,ABS1599A20D,CA,U,2110,2001,,26.00,55.00,29.00,4865.39,TND,2022-08-18,L0024803,X,,,,1,LTN1,TND,3.3,16055.781,33,2022,111.53846153846155,False
205,709389,2022,33,100808834,IS0006708S,ABS1599A20E,CA,U,2110,2001,,71.00,96.00,25.00,3469.13,TND,2022-08-18,L0024803,X,,,,1,LTN1,TND,3.3,11448.112,33,2022,35.2112676056338,False
206,709544,2022,33,100800736,IS0006747S,ABS169902,CA,U,2110,2001,,538.00,538.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
207,710624,2022,33,100800737,IS0006903S,ABS2309DM01,CA,U,2110,2001,,170.00,170.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
208,710663,2022,33,100808782,IS0006908S,ABS2413135,CA,M,2300,2001,,150.00,150.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
209,712782,2022,33,100800738,IS0007040S,ASNE0072RB5782UJ,CA,U,2110,2001,,188.00,89.00,-99.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-52.659574468085104,True
210,712831,2022,33,100800740,IS0007047S,ASNE0072RB594U7J,CA,U,2110,2001,,629.00,629.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
211,713065,2022,33,100800741,IS0007079S,ASNE008910160,CA,U,2110,2001,,996.00,987.00,-9.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,-0.9036144578313252,True
212,714023,2022,33,100808784,IS0007210S,ASNE01990212K,CA,U,2300,2001,,173.00,173.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
213,714131,2022,33,100800746,IS0007224S,ASNE0219AS,CA,U,2110,2001,,589.00,589.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
214,714233,2022,33,100808828,IS0007239S,ASNE0237E25S03A,CA,U,2300,2001,,71.00,71.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
215,714250,2022,33,100800880,IS0007243S,ASNE0237F50S03A,CA,U,2110,2001,,1125.00,1125.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
